length		Returns the list length\n int length( llst )

pointdump	Returns the points of a layout object - the point list can be used for generation of further layout objects. \n point list pointdump(layout lobject)
typeof		--------------------
abs		Returns the absolute value \\n of the argument.\n real abs ( real X )
sin		Returns the sine of the argument X where X is given in degrees \n real sin ( real X ) 
cos		Returns the cosine of the argument X where X is given in degrees \n real cos ( real X ) 
tan		Returns the tangent of the argument X where X is given in degrees \n real tan ( real X ) 
asin		Returns the inverse sine; that is the value whose sine is Y. Result is in degrees \n real asin ( real Y ) 
acos		Returns the inverse cosine; that is the value whose cosine is Y. Result is in degrees \n real acos ( real Y ) 
atan		Returns the inverse tangent; that is the value whose tangent is Y. Result is in degrees \n real atan ( real Y ) 
sinh		Return the hyperbolic sine of X \n real sinh ( real X ) 
cosh		Return the hyperbolic cosine of X \n real cosh ( real X ) 
tanh		Return the hyperbolic tangent of X \n real tanh ( real X ) 
asinh		Return the inverse hyperbolic sine; that is the value whose hyperbolic cosine is Y. \n real asinh( real Y )
acosh		Return the inverse hyperbolic cosine; that is the value whose hyperbolic cosine is Y. \n real acosh( real Y ) 
atanh		Return the inverse hyperbolic tangent; that is the value whose hyperbolic tangent is Y. \n real atanh( real Y ) 
round		Returns the nearest integer to the argument.  \n int round ( real X ) 
ceil		Returns the smallest integer not less than the argument. \n int ceil ( real X ) 
floor		Returns the largest integer not greater than the argument. \n int floor ( real X )
fmod		Returns the floating-point remainder of dividing X by Y. \n real fmod ( real X, real Y ) 
sqrt		Returns the non-negative square root of the argument. \n real sqrt ( real X ) 
pow		Returns the value of X raised to the power of Y.  \n real pow ( real X, real Y )
exp		Returns the value of e (the base of natural logarithms) raised to the power of X.  \n real exp ( real X ) 
log		Returns the natural logarithm of X.  \n real log ( real X ) 
log10		Returns the base 10 logarithm of X.  \n real log10 ( real X ) 
getlaytype	Returns the type of the layout object. \n int getlaytype( layout lobject )
getlaytext	Returns the string contents of a text object. \nIf the input is a non-text object the function flags a runtime error. \n string getlaytext(layout tobject )
getlayref	Returns the name of the referenced cell. \nIf the input is not a reference object the function flags a runtime error. \n string getlayref( layout robject )

echo		Prints the value of a TELL variable \n void echo( variable )
printf		Write formatted data to the Tell log \n void printf( format [,param [,param [,...]]] )
